,Ticker,Trade % Change,Stock % Change,End Money,% Trade Success,Total Trades,Min Money,Max Money,5 Year Monthly Beta
0,QQQ,60.022,100.423,16002.174310190569,54.667,75,8702.984633602933,16300.68256618845,1.120964848359104
1,SPY,47.052,57.245,14705.158942618293,56.41,78,9532.652531439102,14705.158942618293,1.0169491525423728
2,DIA,38.608,41.19,13860.776767529707,54.795,73,9260.104873888276,13933.655352565636,0.946743185788717
3,AAPL,270.377,310.698,37037.740818526625,61.111,72,9353.62677288638,37648.524140538764,1.2960551299888596
4,AMD,447.799,721.415,54779.91432417882,45.833,72,10000.0,55602.523360435334,1.9696453545147705
5,AMZN,42.113,34.663,14211.26034344729,47.436,78,9584.104996582788,17026.001002305184,1.2632625791104044
6,ANET,144.473,142.162,24447.29045253207,50.617,81,7582.4859342547625,24447.29045253207,1.2687222012195385
7,CMG,203.533,388.418,30353.317159805334,47.826,92,8731.173136907555,30353.317159805334,1.3457938036291899
8,CRWD,88.697,106.983,18869.715371332564,45.161,62,10000.0,40199.6904883175,1.0400409063172749
9,CSX,33.724,54.774,13372.416970712637,37.037,81,9285.527554048622,14344.646961602088,1.2440426307194978
10,DIS,42.087,2.163,14208.740731092033,37.037,81,9843.516429166628,14593.945232947037,1.3139938791715329
11,FHI,51.67,56.366,15166.969002214975,40.506,79,8659.525794544987,15469.063013611452,1.0327052207851448
12,GOOG,-4.141,112.753,9585.870798463837,44.444,81,8821.97303382085,17050.936513428132,1.1213644589253586
13,GXO,-4.577,-2.514,9542.273063414787,32.143,28,7107.012642109605,14409.957822904835,1.9373930704303697
14,LUV,-7.617,-42.665,9238.270438564896,44.0,75,8179.333263391123,14059.401913749305,1.1610860311748272
15,MA,13.0,113.177,11299.951373001997,36.842,76,8641.91047839859,11654.517188523647,1.1188524381895117
16,META,-45.717,39.721,5428.345760931721,45.946,74,3375.664367722336,13625.411090132127,1.2116921276315296
17,NFLX,9.001,5.591,10900.112008240887,39.726,73,7289.289638071573,11720.20703189854,1.2770097634697244
18,NKE,63.252,85.29,16325.159984255437,41.892,74,10000.0,17178.328363994708,1.1088028195232278
19,NVDA,96.292,393.535,19629.166672874413,42.029,69,5836.995000123785,20321.092680876496,1.7840178987217923
20,PAYC,35.889,154.242,13588.90383539133,42.254,71,9563.893130064907,24307.76585415862,1.4359307651178954
21,PYPL,-11.403,1.863,8859.658031856485,45.833,72,8356.594598260437,17963.195668715016,1.315086123089473
22,SHOP,100.164,262.568,20016.405816721493,55.263,76,10000.0,35072.75456189167,2.052432936407252
23,SHW,30.299,93.826,13029.942896773659,46.377,69,10000.0,20507.11152131201,1.0861724647862507
24,TSLA,1180.97,738.602,128096.98725878536,46.154,78,6759.086011181823,132723.1699018842,2.002633387745265
25,UPS,81.668,58.423,18166.782984551923,45.0,80,9393.537954928963,23873.14270968411,1.096639974368191
26,WFC,31.54,-23.499,13153.955387455972,44.0,75,7579.806252394658,13153.955387455972,1.145307709638119
27,WSM,159.154,153.222,25915.423689193216,46.053,76,10000.0,33834.14778560084,1.6246307183912192
28,XOM,74.157,52.206,17415.724056410596,43.077,65,9037.701796576648,18039.96844210436,1.0805347793030575
29,XPO,86.276,31.476,18627.56385874166,50.667,75,8837.908435458256,24577.603630214162,2.2246542166312526

Average Profit:  118.988%
Average Success Rate:  44.887%
